Dog_ID,Name,subject,Breed,sex,neutered,birth_date,age,condition,order
1,Beny,Beny,Mix,m,yes,28/04/2019,28,human_outside,1
2,George4,George,Collie,m,no,12/04/2019,29,human_within,1
3,Georgia,Georgia,Labrador Retriever,f,yes,29/12/2017,45,dog,1
4,Timo2,Timo,Mix,m,yes,01/02/2019,31,dog,1
5,Melody,Melody,Labrador Retriever,f,yes,14/08/2018,37,human_within,1
6,Hetti,Hetti,Mix,f,no,10/01/2019,32,human_outside,1
7,Lilly9,Lilly,Mix,f,yes,07/09/2017,48,dog,1
8,Maylo,Maylo,Mix,m,yes,13/11/2015,70,dog,1
9,Asta2,Asta,Border Collie,f,no,05/10/2018,35,human_within,1
10,Joker4,Joker,Australian Shepherd,m,no,18/08/2016,60,human_within,1
11,Zserbo,Zserbo,Small Münsterländer,m,yes,24/12/2019,20,human_outside,1
12,Lenny4,Lenny,Canarian Warren Hound,m,yes,15/07/2014,87,human_within,1
13,Amy8,Amy,Border Collie,f,no,12/03/2010,139,human_outside,1
14,Ace3,Ace,Border Collie,m,yes,15/03/2019,30,human_outside,1
16,Schnee,Schnee,Mix,m,yes,14/09/2014,84,dog,1
1,Beny,Beny,Mix,m,yes,28/04/2019,28,human_within,2
2,George4,George,Collie,m,no,12/04/2019,29,human_outside,2
3,Georgia,Georgia,Labrador Retriever,f,yes,29/12/2017,45,human_outside,2
4,Timo2,Timo,Mix,m,yes,01/02/2019,31,human_within,2
5,Melody,Melody,Labrador Retriever,f,yes,14/08/2018,37,human_outside,2
6,Hetti,Hetti,Mix,f,no,10/01/2019,32,human_within,2
7,Lilly9,Lilly,Mix,f,yes,07/09/2017,48,human_within,2
8,Maylo,Maylo,Mix,m,yes,13/11/2015,70,human_outside,2
9,Asta2,Asta,Border Collie,f,no,05/10/2018,35,dog,2
10,Joker4,Joker,Australian Shepherd,m,no,18/08/2016,60,human_outside,2
11,Zserbo,Zserbo,Small Münsterländer,m,yes,24/12/2019,20,dog,2
12,Lenny4,Lenny,Canarian Warren Hound,m,yes,15/07/2014,87,dog,2
13,Amy8,Amy,Border Collie,f,no,12/03/2010,139,dog,2
14,Ace3,Ace,Border Collie,m,yes,15/03/2019,30,dog,2
16,Schnee,Schnee,Mix,m,yes,14/09/2014,84,human_within,2
1,Beny,Beny,Mix,m,yes,28/04/2019,28,dog,3
2,George4,George,Collie,m,no,12/04/2019,29,dog,3
3,Georgia,Georgia,Labrador Retriever,f,yes,29/12/2017,45,human_within,3
4,Timo2,Timo,Mix,m,yes,01/02/2019,31,human_outside,3
5,Melody,Melody,Labrador Retriever,f,yes,14/08/2018,37,dog,3
6,Hetti,Hetti,Mix,f,no,10/01/2019,32,dog,3
7,Lilly9,Lilly,Mix,f,yes,07/09/2017,48,human_outside,3
8,Maylo,Maylo,Mix,m,yes,13/11/2015,70,human_within,3
9,Asta2,Asta,Border Collie,f,no,05/10/2018,35,human_outside,3
10,Joker4,Joker,Australian Shepherd,m,no,18/08/2016,60,dog,3
11,Zserbo,Zserbo,Small Münsterländer,m,yes,24/12/2019,20,human_within,3
12,Lenny4,Lenny,Canarian Warren Hound,m,yes,15/07/2014,87,human_outside,3
13,Amy8,Amy,Border Collie,f,no,12/03/2010,139,human_within,3
14,Ace3,Ace,Border Collie,m,yes,15/03/2019,30,human_within,3
16,Schnee,Schnee,Mix,m,yes,14/09/2014,84,human_outside,3
18,Knopfi,Knopfi,Australian Shepherd,m,yes,26/9/2016,61,dog,1
18,Knopfi,Knopfi,Australian Shepherd,m,yes,26/9/2016,61,human_outside,2
18,Knopfi,Knopfi,Australian Shepherd,m,yes,26/9/2016,61,human_within,3
